Series Name,Series Code,Code,2010AG.LND.ARBL.ZS,2011AG.LND.ARBL.ZS,2012AG.LND.ARBL.ZS,2013AG.LND.ARBL.ZS,2014AG.LND.ARBL.ZS,2010AG.SRF.TOTL.K2,2011AG.SRF.TOTL.K2,2012AG.SRF.TOTL.K2,2013AG.SRF.TOTL.K2,2014AG.SRF.TOTL.K2,2010EN.POP.DNST,2011EN.POP.DNST,2012EN.POP.DNST,2013EN.POP.DNST,2014EN.POP.DNST,2010IT.NET.USER.P2,2011IT.NET.USER.P2,2012IT.NET.USER.P2,2013IT.NET.USER.P2,2014IT.NET.USER.P2,2010MS.MIL.TOTL.TF.ZS,2011MS.MIL.TOTL.TF.ZS,2012MS.MIL.TOTL.TF.ZS,2013MS.MIL.TOTL.TF.ZS,2014MS.MIL.TOTL.TF.ZS,2010NY.GDP.MKTP.CD,2011NY.GDP.MKTP.CD,2012NY.GDP.MKTP.CD,2013NY.GDP.MKTP.CD,2014NY.GDP.MKTP.CD,2010NY.GDP.MKTP.KD.ZG,2011NY.GDP.MKTP.KD.ZG,2012NY.GDP.MKTP.KD.ZG,2013NY.GDP.MKTP.KD.ZG,2014NY.GDP.MKTP.KD.ZG,2010NY.GDP.PCAP.KD.ZG,2011NY.GDP.PCAP.KD.ZG,2012NY.GDP.PCAP.KD.ZG,2013NY.GDP.PCAP.KD.ZG,2014NY.GDP.PCAP.KD.ZG,2010NY.GDP.PCAP.CD,2011NY.GDP.PCAP.CD,2012NY.GDP.PCAP.CD,2013NY.GDP.PCAP.CD,2014NY.GDP.PCAP.CD,2010SL.TLF.TOTL.FE.ZS,2011SL.TLF.TOTL.FE.ZS,2012SL.TLF.TOTL.FE.ZS,2013SL.TLF.TOTL.FE.ZS,2014SL.TLF.TOTL.FE.ZS,2010SL.TLF.TOTL.IN,2011SL.TLF.TOTL.IN,2012SL.TLF.TOTL.IN,2013SL.TLF.TOTL.IN,2014SL.TLF.TOTL.IN,2010SL.UEM.TOTL.FE.ZS,2011SL.UEM.TOTL.FE.ZS,2012SL.UEM.TOTL.FE.ZS,2013SL.UEM.TOTL.FE.ZS,2014SL.UEM.TOTL.FE.ZS,2010SL.UEM.TOTL.ZS,2011SL.UEM.TOTL.ZS,2012SL.UEM.TOTL.ZS,2013SL.UEM.TOTL.ZS,2014SL.UEM.TOTL.ZS,2010SP.POP.GROW,2011SP.POP.GROW,2012SP.POP.GROW,2013SP.POP.GROW,2014SP.POP.GROW,2010SP.POP.TOTL,2011SP.POP.TOTL,2012SP.POP.TOTL,2013SP.POP.TOTL,2014SP.POP.TOTL,2010SP.POP.TOTL.FE.ZS,2011SP.POP.TOTL.FE.ZS,2012SP.POP.TOTL.FE.ZS,2013SP.POP.TOTL.FE.ZS,2014SP.POP.TOTL.FE.ZS,2010SP.RUR.TOTL,2011SP.RUR.TOTL,2012SP.RUR.TOTL,2013SP.RUR.TOTL,2014SP.RUR.TOTL
,,ZWE,10.33992504,10.85692129,10.33992504,10.33992504,..,390760,390760,390760,390760,390760,36.12226186,36.85043815,37.651498,38.51128861,39.41024945,11.5,15.7,17.09,18.5,19.89,0.721346532,0.70587771,0.690140688,0.674366928,..,9456808151,10956226611,12472416688,13490227136,13663314280,11.37592123,11.90540789,10.56520427,4.484095146,3.168210612,9.360236527,9.694121691,8.212858418,2.151416915,0.814909572,676.7480933,768.5564101,856.2996191,905.5003242,896.1986245,49.20061882,49.25233933,49.30439796,49.41245781,..,7042385,7196714,7360818,7532991,..,5.199999809,6,5.599999905,5.400000095,..,5.5,5.400000095,5.300000191,5.400000095,..,1.826380198,1.995816152,2.15052321,2.257866817,2.307451177,13973897,14255592,14565482,14898092,15245855,50.58618222,50.61998828,50.65448572,50.68654429,50.7123018,9335122,9549108,9783052,10033269,10290800
,,HND,9.116096166,9.116096166,9.116096166,9.116096166,..,112490,112490,112490,112490,112490,67.06475109,68.11523818,69.14050407,70.14978103,71.15631424,11.09,15.9,18.12,17.8,19.08,0.668012266,0.64845166,0.628639429,0.61071257,..,15839344592,17710325578,18528591646,18496448466,19385309986,3.731270148,3.835560728,-2.982074413,2.606743834,3.483158037,2.061685885,2.234187548,-4.420727063,1.130493704,2.019349301,2110.822021,2323.758502,2395.072116,2356.517955,2434.826567,34.02877864,34.20909972,34.33348819,34.51219181,..,2993957,3084270,3181474,3274863,..,6.199999809,6.300000191,6.099999905,5.699999809,..,4.800000191,4.400000095,4.400000095,4.199999809,..,1.622622006,1.554236301,1.493977504,1.449196017,1.424638087,7503875,7621414,7736131,7849059,7961680,50.01140078,50.01237303,50.01364377,50.01523113,50.01715718,3624672,3634195,3641397,3646908,3651465
,,HTI,39.91291727,38.46153846,36.28447025,38.82438316,..,27750,27750,27750,27750,27750,362.8308055,368.1019594,373.3246734,378.492344,383.6004717,8.37,9,9.8,10.6,11.4,0,0.001168098,0.001140546,0.002673084,..,6622540159,7516829496,7890215896,8452726177,8713031260,-5.497792337,5.523737754,2.885096051,4.247935032,2.74985019,-6.883852602,4.012656811,1.445760593,2.82460642,1.38160537,662.2793812,740.9473633,766.8721739,810.3273325,824.1588498,47.35240343,47.34032276,47.4065705,47.47331148,..,4180263,4280463,4383867,4489196,..,9,7.900000095,8,8,..,8,6.800000191,7,7,..,1.477558505,1.442333818,1.408851593,1.374736619,1.340572727,9999617,10144890,10288828,10431249,10572029,50.56631669,50.56014407,50.55348384,50.54744643,50.54348602,4798216,4721838,4646332,4572225,4499878
,,CHI,22.63157895,23.15789474,22.63157895,21.94736842,..,190,190,190,190,190,839.9105263,844.6789474,849.1368421,853.3578947,857.4578947,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.609689,0.566124134,0.526374244,0.495867763,0.47930442,159583,160489,161336,162138,162917,50.49096708,50.45890996,50.44379432,50.44098237,50.44163593,110026,110551,111017,111436,111821
,,AUS,5.541048905,6.206214285,6.132668602,6.016297203,..,7741220,7741220,7741220,7741220,7741220,2.867858584,2.90798641,2.958522057,3.010279213,3.057773844,76,79.48769771,79,83,84.56,0.483115765,0.480488544,0.466864267,0.463420107,..,1.14E+12,1.39E+12,1.53E+12,1.56E+12,1.45E+12,1.962366101,2.321478902,3.727818428,2.511938261,2.474910319,0.388623544,0.909526453,1.956003886,0.749401961,0.883226875,51801.04895,62133.61078,67511.82496,67473.0338,61886.95879,45.09683886,45.24748403,45.30507337,45.38381311,..,11705683,11873332,12037760,12245908,..,5.300000191,5.300000191,5.300000191,5.599999905,..,5.199999809,5.099999905,5.199999809,5.699999809,..,1.555489589,1.389527316,1.722895219,1.73429977,1.565431283,22031750,22340024,22728254,23125868,23490736,49.97988301,49.97939214,49.98898146,50.00482371,50.021613,2482317,2485328,2496699,2508463,2516093
,,IRL,14.67556975,15.41588039,16.98359704,16.15619103,..,70280,70280,70280,70280,70280,66.19473073,66.43626071,66.58291479,66.74835245,66.95774423,69.85,74.88997297,76.91999254,78.2477,79.69,0.475073191,0.407624315,0.430119201,0.428052207,..,2.18E+11,2.38E+11,2.22E+11,2.32E+11,2.46E+11,-0.27550501,2.772706339,-0.313052822,0.173617084,4.792533518,-0.81741049,2.399074696,-0.532621133,-0.074666022,4.464823919,47903.68133,51948.34654,48391.31497,50470.31947,53313.61237,44.10296099,44.31192329,44.28935108,44.39400397,..,2201766,2183383,2173816,2184313,..,9.899999619,10.80000019,11,10.80000019,..,13.89999962,14.60000038,14.69999981,13.10000038,..,0.544884384,0.364213884,0.220500759,0.248160454,0.313212277,4560155,4576794,4586897,4598294,4612719,50.16704445,50.16586018,50.15191089,50.12978289,50.10673422,1740155,1734101,1725315,1716681,1708920
,,EST,15.2158528,14.90917669,14.64968153,14.90917669,..,45230,45230,45230,45230,45230,31.41012031,31.31490918,31.20301958,31.09216796,30.98950224,74.1,76.5,78.38992593,79.4,84.24,0.828760736,0.820692293,0.831703676,0.833690975,..,19482251656,22802057270,22660728507,24880264958,25904874312,2.475873851,8.263792513,4.650562696,1.629773391,2.08261591,2.709844941,8.59296219,5.02582475,1.992109804,2.420807388,14632.08221,17177.4803,17132.22729,18877.33049,19719.84388,49.6976825,49.72881472,49.12143163,49.09221927,..,693807,700628,691352,689704,..,14.30000019,11.80000019,9.199999809,8.300000191,..,16.89999962,12.5,10.10000038,8.800000191,..,-0.228057969,-0.303582824,-0.357944411,-0.355891803,-0.330744377,1331475,1327439,1322696,1317997,1313645,53.42953812,53.38935958,53.34468747,53.29676906,53.2471055,424820,425245,425445,425436,425332
,,JAM,11.08033241,11.08033241,11.08033241,11.08033241,..,10990,10990,10990,10990,10990,248.4602031,249.2925208,250.0281625,250.6679594,251.2698061,27.67,37.43861341,33.79,37.1,40.5,0.227641099,0.225908604,0.222201982,0.219238784,..,13230844040,14433926129,14794802081,14362262585,..,-1.480026897,1.703150085,0.724298566,1.274858022,..,-1.825583316,1.363591861,0.427943959,1.016367322,..,4917.023202,5346.219339,5463.762007,5290.486134,..,44.63808685,44.63131796,44.92774902,44.89437029,..,1243185,1252719,1273616,1290830,..,16.10000038,16.70000076,17.60000038,19.5,..,12.39999962,12.69999981,13.69999981,15,..,0.351364139,0.33443048,0.294657238,0.255563077,0.239809415,2690824,2699838,2707805,2714734,2721252,50.30721353,50.27267528,50.24493615,50.22427039,50.2100204,1244694,1243815,1242151,1239656,1236646
,,TCA,1.052631579,1.052631579,1.052631579,1.052631579,..,950,950,950,950,950,32.62421053,33.39684211,34.13684211,34.84526316,35.51578947,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.436436653,2.340668084,2.191586694,2.05399924,1.90601644,30993,31727,32430,33103,33740,..,..,..,..,..,3029,2961,2890,2820,2751
,,TTO,4.873294347,4.873294347,4.873294347,4.873294347,..,5130,5130,5130,5130,5130,258.8879142,260.1929825,261.5163743,262.8148148,264.0317739,48.5,55.2,59.5162,63.8,65.1,0.604856118,0.59880151,0.594964398,0.5913721,..,20578437536,23541881857,23224918862,24433812700,..,0.208234844,-1.601761263,1.521672127,1.600062968,..,-0.280018999,-2.095304224,1.007926286,1.098106329,..,15494.70297,17637.14281,17311.6297,18122.74721,..,41.82126747,41.94094486,42.06412982,42.11095017,..,671730,676351,680713,684848,..,7,6.199999809,6.599999905,7.5,..,5.900000095,4.699999809,5,5.800000191,..,0.488430121,0.502839147,0.507330234,0.495275973,0.461979352,1328095,1334790,1341579,1348240,1354483,50.50963975,50.53259314,50.55937817,50.5897318,50.62300524,1207345,1215500,1223587,1231402,1238675
