Series Name,Series Code,Code,2010AG.LND.ARBL.ZS,2011AG.LND.ARBL.ZS,2012AG.LND.ARBL.ZS,2013AG.LND.ARBL.ZS,2014AG.LND.ARBL.ZS,2010AG.SRF.TOTL.K2,2011AG.SRF.TOTL.K2,2012AG.SRF.TOTL.K2,2013AG.SRF.TOTL.K2,2014AG.SRF.TOTL.K2,2010EN.POP.DNST,2011EN.POP.DNST,2012EN.POP.DNST,2013EN.POP.DNST,2014EN.POP.DNST,2010IT.NET.USER.P2,2011IT.NET.USER.P2,2012IT.NET.USER.P2,2013IT.NET.USER.P2,2014IT.NET.USER.P2,2010MS.MIL.TOTL.TF.ZS,2011MS.MIL.TOTL.TF.ZS,2012MS.MIL.TOTL.TF.ZS,2013MS.MIL.TOTL.TF.ZS,2014MS.MIL.TOTL.TF.ZS,2010NY.GDP.MKTP.CD,2011NY.GDP.MKTP.CD,2012NY.GDP.MKTP.CD,2013NY.GDP.MKTP.CD,2014NY.GDP.MKTP.CD,2010NY.GDP.MKTP.KD.ZG,2011NY.GDP.MKTP.KD.ZG,2012NY.GDP.MKTP.KD.ZG,2013NY.GDP.MKTP.KD.ZG,2014NY.GDP.MKTP.KD.ZG,2010NY.GDP.PCAP.KD.ZG,2011NY.GDP.PCAP.KD.ZG,2012NY.GDP.PCAP.KD.ZG,2013NY.GDP.PCAP.KD.ZG,2014NY.GDP.PCAP.KD.ZG,2010NY.GDP.PCAP.CD,2011NY.GDP.PCAP.CD,2012NY.GDP.PCAP.CD,2013NY.GDP.PCAP.CD,2014NY.GDP.PCAP.CD,2010SL.TLF.TOTL.FE.ZS,2011SL.TLF.TOTL.FE.ZS,2012SL.TLF.TOTL.FE.ZS,2013SL.TLF.TOTL.FE.ZS,2014SL.TLF.TOTL.FE.ZS,2010SL.TLF.TOTL.IN,2011SL.TLF.TOTL.IN,2012SL.TLF.TOTL.IN,2013SL.TLF.TOTL.IN,2014SL.TLF.TOTL.IN,2010SL.UEM.TOTL.FE.ZS,2011SL.UEM.TOTL.FE.ZS,2012SL.UEM.TOTL.FE.ZS,2013SL.UEM.TOTL.FE.ZS,2014SL.UEM.TOTL.FE.ZS,2010SL.UEM.TOTL.ZS,2011SL.UEM.TOTL.ZS,2012SL.UEM.TOTL.ZS,2013SL.UEM.TOTL.ZS,2014SL.UEM.TOTL.ZS,2010SP.POP.GROW,2011SP.POP.GROW,2012SP.POP.GROW,2013SP.POP.GROW,2014SP.POP.GROW,2010SP.POP.TOTL,2011SP.POP.TOTL,2012SP.POP.TOTL,2013SP.POP.TOTL,2014SP.POP.TOTL,2010SP.POP.TOTL.FE.ZS,2011SP.POP.TOTL.FE.ZS,2012SP.POP.TOTL.FE.ZS,2013SP.POP.TOTL.FE.ZS,2014SP.POP.TOTL.FE.ZS,2010SP.RUR.TOTL,2011SP.RUR.TOTL,2012SP.RUR.TOTL,2013SP.RUR.TOTL,2014SP.RUR.TOTL
,,BOL,3.66380504,3.699806148,4.018277485,4.096741438,..,1098580,1098580,1098580,1098580,1098580,9.155584787,9.303275178,9.451455737,9.600231699,9.749734146,22.4,30,35.34,36.94,39.02,1.778870947,1.737077459,1.695912321,1.655680866,..,19649631308,23948541156,27035110130,30601157742,34175832127,4.126722591,5.173930421,5.176430978,6.775601009,5.399085429,2.452778319,3.504284134,3.527467812,5.120886489,3.782895606,1981.160105,2376.262711,2640.466702,2942.438536,3235.769529,44.36194123,44.44776178,44.53284342,44.5477255,..,4677124,4789654,4905914,5025123,..,4.099999905,3.400000095,3.299999952,3.200000048,..,3.299999952,2.700000048,2.700000048,2.599999905,..,1.620665075,1.600245545,1.580226809,1.561845764,1.545278399,9918245,10078238,10238762,10399931,10561887,49.88555939,49.89189579,49.89901123,49.90662919,49.91438556,3329952,3340432,3350225,3359594,3368503
,,SWE,6.397134084,6.360579032,6.380419306,6.373054451,..,450300,450300,447420,447420,447420,22.85452552,23.02776478,23.36960279,23.56846615,23.78738891,90,92.76998606,93.17998801,94.7836,92.52,0.425636156,0.422501518,0.316433616,0.314548227,..,4.88E+11,5.63E+11,5.44E+11,5.80E+11,5.71E+11,5.988927133,2.664408163,-0.286319956,1.282360789,2.278441474,5.089186132,1.892057621,-1.02124344,0.427771857,1.337141043,52076.43052,59593.6848,57134.07707,60364.9094,58887.25191,46.93656808,47.15559283,47.36297786,47.40423472,..,4972087,5041402,5087955,5118452,..,8.600000381,7.800000191,7.900000095,7.900000095,..,8.699999809,7.800000191,8.100000381,8.100000381,..,0.852524629,0.755150134,0.739763272,0.847348652,0.924592435,9378126,9449213,9519374,9600379,9689555,50.20742788,50.16586785,50.12659459,50.09034993,50.05788269,1401467,1397539,1393351,1390711,1388998
,,CHE,10.23635996,10.22117623,10.21864561,10.21611499,..,41285,41285,41285,41285,41285,198.0187519,200.2327665,202.3702045,204.7106489,207.2636147,83.9,85.19302818,85.2,86.34,87,0.560283982,0.504104524,0.488513885,0.452040618,..,5.81E+11,6.96E+11,6.66E+11,6.85E+11,..,2.953806584,1.804553114,1.109171726,1.915615441,..,1.887048015,0.678879387,0.041254706,0.750420419,..,74277.1216,88002.61459,83295.25862,84732.95726,..,45.81537416,45.680468,45.83256677,46.1451997,..,4513247,4582383,4636511,4700905,..,4.900000095,4.400000095,4.5,4.5,..,4.5,4,4.199999809,4.400000095,..,1.041558058,1.111878943,1.061819329,1.149879758,1.239397114,7824909,7912398,7996861,8089346,8190229,50.76588646,50.70202893,50.63878071,50.57900144,50.52593455,2060846,2080882,2100056,2120460,2142236
,,VUT,1.640689089,1.640689089,1.640689089,1.640689089,..,12190,12190,12190,12190,12190,19.38465956,19.84216571,20.30336341,20.76825267,21.23732568,8,9.2,10.598,11.3,18.8,..,..,..,..,..,700804045.2,792149995.8,781702874.1,801787555.9,..,1.632696617,1.20747585,1.770584777,1.96914608,..,-0.74017668,-1.126092146,-0.541168157,-0.313393571,..,2965.75121,3275.025202,3158.420974,3167.055303,..,43.4256339,43.53617895,43.54002688,43.58605502,..,103683,106222,109389,112614,..,..,..,..,..,..,..,..,..,..,..,2.362441028,2.332724587,2.297730303,2.26389489,2.233477212,236299,241876,247498,253165,258883,49.23296332,49.2649126,49.28969123,49.30973871,49.32768857,178195,181663,185129,188588,192047
,,BLR,27.279448,27.24853383,27.21403578,27.46735006,..,207600,207600,207600,207600,207600,46.77180877,46.68572273,46.64136809,46.65122468,46.67093785,31.8,39.64889566,46.91,54.17,59.02,4.108523963,3.538757457,3.531613304,3.524693714,..,55220932614,59734593905,63615445567,73097619637,76139250365,7.740781216,5.543711461,1.731391223,1.073600801,1.587801619,7.933783669,5.733117467,1.828134939,1.05224572,1.544892305,5818.854859,6305.773662,6721.834908,7722.123351,8040.047557,48.83281896,48.78403366,48.73507893,48.68706275,..,4452694,4464844,4473876,4482659,..,4.5,4.5,4.400000095,4.300000191,..,6.099999905,6,5.900000095,5.800000191,..,-0.178975676,-0.179296573,-0.095052022,0.021130481,0.042247571,9490000,9473000,9464000,9466000,9470000,53.50159848,53.51638347,53.5219296,53.52163469,53.52026468,2409036,2363892,2321803,2283483,2246568
,,BMU,6,6,6,6,..,50,50,50,50,50,1302.48,1291.28,1295.96,1300.02,1303.62,84.21,88.336,91.29930452,95.3,96.8,..,..,..,..,..,5744414000,5550771000,5537537000,5573710000,..,-2.094113534,-3.33949441,-4.834540171,-2.511154431,..,-1.324384803,-2.501103308,-5.178203827,-2.815614911,..,88207.32756,85973.15842,85458.45551,85748.06541,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-0.780059723,-0.859898041,0.362431076,0.313281274,0.276918817,65124,64564,64798,65001,65181,..,..,..,..,..,0,0,0,0,0
,,KWT,0.561167228,0.589225589,0.561167228,0.594837262,..,17820,17820,17820,17820,17820,171.6875982,181.7722222,191.895679,201.6660494,210.6128507,61.4,65.76907069,70.45,75.46,78.7,1.429809633,1.344358661,1.262517639,1.190305018,..,1.15E+11,1.54E+11,1.74E+11,1.76E+11,..,-2.367061944,9.628436082,6.626388081,1.479035149,..,-8.054681527,3.546310078,1.001312842,-3.437448123,..,37724.27379,47553.66926,50896.49814,48926.52543,..,26.68081714,26.94374335,27.08050058,27.09239558,..,1580630,1681099,1790074,1898673,..,1.399999976,2.900000095,2.700000048,2.400000095,..,1.799999952,3.599999905,3.400000095,3.099999905,..,6.002088065,5.707784116,5.419750888,4.966122256,4.3408509,3059473,3239181,3419581,3593689,3753121,43.64147028,43.80888255,43.87204163,43.86890463,43.8435638,53143,55746,58338,60733,62827
,,COM,34.92745836,34.92745836,34.92745836,34.92745836,..,1861,1861,1861,1861,1861,375.4406233,384.7243418,394.2294465,403.9210102,413.751209,5.1,5.5,5.975296308,6.5,6.98,..,..,..,..,..,530493417.6,586281824.1,570865871.9,618664794,647720102.5,2.199999982,2.600000088,2.999999972,3.499999994,3.003660309,-0.264694913,0.12417673,0.516609142,1.016650985,0.556425261,759.263223,818.8613857,778.1057899,823.0241627,841.2047705,30.09064827,30.20517234,30.31963616,30.48601056,..,235967,242869,250003,256908,..,7,7,6.900000095,7,..,6.5,6.5,6.5,6.5,..,2.44119501,2.442675067,2.440600902,2.428624816,2.404550925,698695,715972,733661,751697,769991,49.59016452,49.58308425,49.57657556,49.57063817,49.56538453,503633,515743,528023,540440,552907
,,CIV,9.119496855,9.119496855,9.119496855,9.119496855,..,322460,322460,322460,322460,322460,63.30725472,64.79299371,66.36050629,67.99525157,69.67643711,2.7,2.9,5,8.4,14.6,..,..,..,..,..,24884503951,25381617036,27040560686,31292558602,34253611098,2.017638592,-4.387259842,10.70650783,9.218578723,8.995497386,-0.246515008,-6.579712578,8.091490959,6.59274012,6.365603248,1236.085144,1231.867849,1281.382775,1447.222711,1545.942397,37.2899168,37.48576224,37.62346453,37.83099334,..,7645721,7842703,8064563,8298241,..,3.700000048,3.700000048,3.599999905,3.599999905,..,4.099999905,4,4.099999905,4,..,2.244373329,2.31975447,2.390461896,2.433577819,2.44243261,20131707,20604172,21102641,21622490,22157107,48.94121994,48.98471048,49.02559353,49.06450645,49.10224968,9953720,10033202,10120616,10213167,10307708
,,KSV,..,..,..,..,..,10887,10887,10887,10887,10887,163.1009461,164.5041793,165.8124369,166.9988978,167.4611004,..,..,..,..,..,..,..,..,..,..,5829933775,6695996664,6500321213,7073021774,7273849012,3.309574839,4.385584021,2.754668146,3.431989924,2.500543596,2.48306566,3.495167016,1.943935408,2.69714667,2.217635981,3283.211938,3738.781369,3600.887,3890.300665,3989.717248,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.803248961,0.85666657,0.792127511,0.712996115,0.276387564,1775680,1790957,1805200,1818117,1823149,48.53603604,..,..,..,..,..,..,..,..,..
,,PER,3.19140625,3.1484375,3.2421875,3.24609375,..,1285220,1285220,1285220,1285220,1285220,22.94815938,23.24991484,23.5615375,23.87926641,24.19777188,34.77,36.01,38.2,39.2,40.2,1.217558641,1.194297454,1.173530147,1.15204705,..,1.49E+11,1.71E+11,1.93E+11,2.02E+11,2.03E+11,8.45074688,6.452215996,5.950346345,5.773430684,2.350705442,7.076982619,5.070596384,4.549057132,4.366047565,1.003504568,5056.329094,5731.346567,6388.758458,6620.629668,6550.924701,44.94471872,45.00941349,45.13225807,45.19498576,..,15769261,16076397,16360892,16665986,..,4.300000191,4.300000191,3.900000095,4.199999809,..,4,3.900000095,3.599999905,3.900000095,..,1.274808461,1.306373763,1.331414618,1.339495248,1.32499896,29373644,29759891,30158768,30565461,30973148,50.03778557,50.03949443,50.04146058,50.04365548,50.04602374,6780906,6764721,6750739,6738462,6725819
,,TUN,18.17070031,18.27368692,18.33161689,18.36380021,..,163610,163610,163610,163610,163610,67.88813079,68.70365602,69.371138,70.07273429,70.78141092,36.8,39.1,41.4416,43.8,46.16,1.255057316,1.233035126,1.215635411,1.201589819,..,44426016487,45951389300,45238860997,46994804036,..,3.249398828,-0.508302869,4.661334784,2.521341111,..,2.197042221,-1.6892879,3.654294151,1.494856366,..,4212.154667,4305.063735,4197.528276,4316.796402,..,26.90393902,26.9226255,26.94333817,26.91267081,..,3808591,3876613,3932100,3978063,..,15.30000019,21.60000038,16.39999962,15.5,..,13,18.29999924,14,13.30000019,..,1.024467307,1.19412,0.966848702,1.006286187,1.00626446,10547100,10673800,10777500,10886500,10996600,50.41242786,50.45238022,50.49237923,50.52978882,50.56099853,3592975,3618418,3634820,3651768,3667916
,,LTU,33.9433586,34.87411048,36.06758784,36.54567212,..,65300,65300,65300,65300,65300,49.4181412,48.31533012,47.67165013,47.19088951,46.73830076,62.12,63.6399774,67.22998933,68.4529,72.13,1.626001595,1.506964953,1.507764827,1.42184577,..,37095840325,43485017710,42824489650,46403189419,48172242517,1.61893218,6.114716102,3.838322648,3.257276204,2.949872877,3.772322473,8.538546297,5.240385526,4.307552923,3.946784483,11976.90114,14360.42479,14333.24742,15689.00226,16444.83811,50.59235676,50.32804723,50.48028928,50.15144763,..,1552274,1549472,1548650,1543768,..,14.39999962,12.89999962,11.5,10.5,..,17.79999924,15.30000019,13.19999981,11.80000019,..,-2.09694342,-2.258463899,-1.341201988,-1.012007368,-0.963688184,3097282,3028115,2987773,2957689,2929323,53.88814971,53.92899678,53.94742774,53.95086055,53.95166206,1029629,1009210,997797,989229,980679
,,SOM,1.753435139,1.594031944,1.594031944,1.753435139,..,637660,637660,637660,637660,637660,15.2735582,15.63214525,15.99392674,16.36777027,16.76534096,..,1.25,1.3767,1.5,1.63,0.071132558,0.111086425,0.676040418,0.361431334,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.49774439,33.58229421,33.6633988,33.65244434,..,2811652,2880640,2958403,3043455,..,7.300000191,7.300000191,7.400000095,7.400000095,..,6.900000095,6.900000095,6.900000095,6.900000095,..,2.375025309,2.320627603,2.287968435,2.310510236,2.399954384,9581714,9806670,10033630,10268157,10517569,50.2851995,50.27525144,50.2656566,50.25626312,50.2468869,6011663,6109359,6205499,6303416,6407513
,,JOR,2.000450552,1.977922956,2.444244199,2.601937373,..,89320,89320,89320,89320,89320,68.10092363,69.62153638,71.16467673,72.76413607,74.4199144,27.2,34.9,37,41,44,6.824952025,6.718538241,6.949512842,6.726144027,..,26425379437,28840263380,30937277606,33593843662,35826925775,2.336830301,2.560808799,2.651203349,2.829210769,3.096330275,0.11947589,0.320765248,0.425306727,0.568878272,0.80252665,4370.721045,4665.954276,4896.688447,5200.285397,5422.570876,17.80503366,18.00507447,17.94797432,18.20007221,..,1619059,1644703,1661987,1717180,..,22.79999924,22,21,22.10000038,..,12.5,12.89999962,12.19999981,12.60000038,..,2.190539893,2.208317432,2.19226317,2.222661541,2.250037525,6046000,6181000,6318000,6460000,6607000,48.45425958,48.52705569,48.60627374,48.68319872,48.74720253,1059682,1067830,1075955,1084569,1093657
,,WBG,7.259136213,7.392026578,7.475083056,7.641196013,..,6020,6020,6020,6020,6020,633.0734219,652.3340532,672.242691,692.6089701,713.4023256,37.4,41.08,43.4,46.6,53.67,6.271586577,6.019479466,5.76399725,..,..,8913100000,10465400000,11279400010,12475999993,12737613125,2.337462352,7.892979819,14.47524769,-4.28112541,-1.499056955,-0.586340855,4.707362134,11.08503419,-7.095754438,-4.370038798,2338.719877,2664.951385,2787.169741,2992.200993,2965.903675,17.89619628,18.0942328,18.36790359,18.51870119,..,892916,930313,971548,1013786,..,19.5,19.10000038,21.89999962,21.29999924,..,23.70000076,21,23,23.39999962,..,2.898628666,2.997037636,3.006264051,2.984616054,2.957994955,3811102,3927051,4046901,4169506,4294682,49.29666878,49.29814512,49.2993667,49.300518,49.30182545,985703,1007053,1028844,1050716,1072554
,,NAM,0.971711062,0.971711062,0.971711062,0.971711062,..,824290,824290,824290,824290,824290,2.664483961,2.72098653,2.783520995,2.850261755,2.918604623,11.6,12,12.9414,13.9,14.84,1.828996086,1.818710462,1.81135673,1.746845335,..,11273248976,12411220518,13020182473,12932205891,13429503285,5.963780157,5.174884438,5.167646476,5.110176938,4.475961994,3.969462655,2.990878345,2.804954562,2.648952792,2.029523429,5139.053609,5540.325234,5681.587887,5511.058544,5588.970836,48.47549566,48.53731408,48.66460108,48.54770497,..,831057,835757,839150,870140,..,23.79999924,21.79999924,18.79999924,18.70000076,..,22.10000038,19.79999924,16.70000076,16.89999962,..,1.900011138,2.098410617,2.272216201,2.369416252,2.369479939,2193643,2240161,2291645,2346592,2402858,51.48034571,51.47804109,51.452341,51.41183469,51.36753816,1280737,1285024,1290975,1298158,1305281
,,MMR,16.54930655,16.51027874,16.46023119,16.49415079,..,676590,676590,676590,676590,676590,79.19207207,79.78908448,80.44682079,81.12915569,81.8232973,0.25,0.98,1.0691,1.6,2.1,1.800004854,1.775959669,1.749309513,1.724308517,..,..,..,74690930782,58652241646,64330038665,..,..,..,8.244874539,8.499663602,..,..,..,7.345988091,7.579215108,..,..,1421.497351,1106.983824,1203.844663,49.57117624,49.62221281,49.53813116,49.51321418,..,28513812,28899868,29340148,29765555,..,3.700000048,3.700000048,3.599999905,3.700000048,..,3.5,3.400000095,3.299999952,3.400000095,..,0.704713591,0.755643793,0.799532281,0.8338866,0.85196116,51733013,52125411,52543841,52983829,53437159,51.18731244,51.18337964,51.1742204,51.16188941,51.14927611,35486260,35479161,35483381,35495457,35508458
,,ROM,39.75657466,39.07981057,38.24884793,38.02112768,..,238390,238390,238390,238390,238390,88.01074114,87.53324934,87.20126511,86.87429031,86.55825327,39.93,40.00999678,45.87999425,49.7645,54.08,1.608806973,1.602021787,1.590908374,1.589145162,..,1.65E+11,1.83E+11,1.69E+11,1.90E+11,1.99E+11,-0.93965598,2.308920543,0.353678398,3.499921297,1.756560487,-0.349527142,2.813383179,0.801426731,3.884954792,2.128088803,8139.146673,9063.700806,8445.29664,9489.693009,9996.670293,44.62495812,45.07167062,44.80442763,44.85486683,..,9559879,9444316,9510290,9520842,..,6.5,6.699999809,6.300000191,6.599999905,..,7.300000191,7.400000095,7,7.300000191,..,-0.593959184,-0.491866213,-0.445177936,-0.371323063,-0.364449926,20246871,20147528,20058035,19983693,19910995,51.42432784,51.45702017,51.48688235,51.5139943,51.53876889,9348183,9275922,9208443,9145537,9080807
,,USA,17.04592114,16.58055495,16.9564205,16.59888799,..,9831510,9831510,9831510,9831510,9831510,33.81795709,34.07754667,34.33887129,34.59965007,34.85759438,71.69,69.72946076,79.3,84.2,87.36,0.995616954,0.962207349,0.936548929,0.896552314,..,1.50E+13,1.55E+13,1.62E+13,1.68E+13,1.74E+13,2.53192038,1.601454273,2.321084741,2.219307991,2.388226907,1.678271297,0.827493635,1.542403994,1.448877479,1.630559556,48374.05646,49781.35749,51456.65873,52980.04363,54629.49517,46.20524112,46.05738182,45.93673144,45.79265794,..,157632611,157980502,159329636,159851241,..,8.600000381,8.5,8,7.099999905,..,9.699999809,9,8.199999809,7.400000095,..,0.836054312,0.764677599,0.76392741,0.756558208,0.742746144,309347057,311721632,314112078,316497531,318857056,50.53130965,50.51376936,50.49201624,50.46887325,50.44827113,59481252,59414143,59342054,59257833,59157550
,,VIR,2.857142857,2.857142857,2.857142857,2.857142857,..,350,350,350,350,350,303.62,302.24,300.7857143,299.2485714,297.6285714,31.22,35.6,40.5479,45.3,50.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.7560198,45.79623207,45.85008725,45.8426794,..,53947,53345,52724,52161,..,..,..,..,..,..,..,..,..,..,..,-0.413196565,-0.455551575,-0.482330521,-0.512352796,-0.542826609,106267,105784,105275,104737,104170,52.21090034,52.2401265,52.27080076,52.30299719,52.33409913,5745,5543,5352,5170,4997
,,ASM,15,15,15,15,..,200,200,200,200,200,278.18,276.58,276.135,276.51,277.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-1.054880962,-0.576827614,-0.161023347,0.135711011,0.238404968,55636,55316,55227,55302,55434,..,..,..,..,..,6902,6914,6951,7005,7060
,,LAO,6.065857886,6.187175043,6.282495667,6.451473137,..,236800,236800,236800,236800,236800,27.12540728,27.58626083,28.04614385,28.50946707,28.98310225,7,9,10.74767619,12.5,14.26,4.221995189,4.115471655,4.016254163,3.91607051,..,7181441152,8283218734,9359185244,11189514292,11771725798,8.526905517,8.038652681,8.024211032,8.518422612,7.458020211,6.665276095,6.233768821,6.252898006,6.754829303,5.701965993,1147.095388,1300.979602,1445.86945,1700.537964,1759.784402,50.40228321,50.2814683,50.16509884,50.05469152,..,3057796,3136943,3214438,3296672,..,1.100000024,1.100000024,1.100000024,1.200000048,..,1.399999976,1.399999976,1.399999976,1.399999976,..,1.730244893,1.684702619,1.653329544,1.638506177,1.647676918,6260544,6366909,6473050,6579985,6689300,50.38332132,50.34552873,50.3131136,50.28476509,50.25782967,4186864,4186115,4183662,4180330,4177401
,,KEN,9.663703131,10.19081421,10.3665179,10.19081421,..,580370,580370,580370,580370,580370,70.85833538,72.77638894,74.74958358,76.77000562,78.82697227,14,28,32.1,39,43.4,0.189199957,0.182990579,0.177048309,0.171492552,..,39999659234,41953433591,50410164014,54930813988,60936509778,8.402277064,6.11161346,4.554912438,5.687231313,5.328057786,5.557505454,3.314995487,1.794934611,2.905769858,2.579553104,991.8505451,1012.879773,1184.923256,1257.202838,1358.262219,46.49283574,46.43467067,46.45092975,46.46114512,..,15391124,15902458,16436192,16968667,..,10.60000038,10.5,10.5,10.5,..,9.300000191,9.300000191,9.199999809,9.199999809,..,2.659321509,2.670896729,2.675206663,2.667037063,2.644121396,40328313,41419954,42542978,43692881,44863583,50.01216887,50.01130856,50.01034483,50.01029573,50.01253244,30822526,31492834,32175254,32865785,33559306
,,FIN,7.419545903,7.405640199,7.401033269,7.318766659,..,338420,338420,338420,338420,338420,17.64841066,17.73099477,17.81556155,17.89783145,17.97886077,86.89,88.70999491,89.87999797,91.5144,92.38,0.924910249,0.920818792,0.918784925,0.918691739,..,2.48E+11,2.74E+11,2.57E+11,2.68E+11,2.71E+11,2.992355336,2.570792586,-1.426177315,-1.321569361,-0.114098647,2.522247118,2.0964171,-1.894086853,-1.775158651,-0.564276595,46205.16601,50787.56498,47415.55987,49310.22922,49541.28822,47.84069101,47.54843046,47.7578524,47.70876443,..,2700262,2714975,2720985,2721261,..,7.699999809,7,7,7.5,..,8.399999619,7.699999809,7.599999905,8.199999809,..,0.457494535,0.463558707,0.475809487,0.460723773,0.451710861,5363352,5388272,5413971,5438972,5463596,50.93076299,50.90058668,50.86908929,50.83708031,50.80568867,881842,878935,876035,872846,869477
,,SDN,7.936868687,7.178451178,8.857323232,7.247474747,..,2505810,1879357.5,1879357.5,1879357.5,1879357.5,19.43239057,19.96141204,20.49370497,21.03068392,21.57468771,16.7,17.30391318,21,22.7,24.64,1.13462424,2.302374713,2.238640614,2.180749747,..,65634083050,67326793943,62689620777,66480692535,73815376185,3.469335244,-1.967729268,-2.214703047,3.308186182,3.079559627,0.666118209,7.325919494,9.351883699,1.155188809,0.891776042,1421.532375,1596.433463,1662.307027,1726.094471,1875.854186,29.05880056,29.24479322,29.28144464,29.37254557,..,11175506,11479452,11806272,12119685,..,19.89999962,19.89999962,19.79999924,20.39999962,..,14.80000019,14.80000019,14.80000019,15.19999981,..,2.289869013,2.199935755,2.12850184,2.10607592,2.145269562,36114885,36918193,37712420,38515095,39350274,49.82691763,49.82289355,49.81764628,49.81189064,49.80653756,24168081,24665783,25148527,25627944,26119531
,,SUR,0.352564103,0.371794872,0.333333333,0.384615385,..,163820,163820,163820,163820,163820,3.321416667,3.355378205,3.388044872,3.419551282,3.450307692,31.59,32,34.6812,37.4,40.08,0.912612403,0.898235748,0.885500886,0.920347265,..,4368371528,4423194614,5013030303,5298787879,..,5.157261795,5.267209149,3.008461297,2.880032451,..,4.016879825,4.201744646,2.015279921,1.932136004,..,8430.854783,8450.258033,9484.765064,9933.054417,..,37.003953,37.15327612,37.26274351,37.36609896,..,201619,204846,207792,210790,..,10.19999981,10,10.10000038,10.69999981,..,7.599999905,7.400000095,7.400000095,7.800000191,..,1.090376907,1.017309413,0.968852816,0.925631735,0.895407485,518141,523439,528535,533450,538248,49.84801434,49.85318251,49.86197697,49.87346518,49.88611198,174386,176525,178603,180626,182547
,,GBR,24.67655934,25.05683462,25.67684868,25.89757368,..,243610,243610,243610,243610,243610,259.4401893,261.4761212,263.3005415,264.9806928,266.6489315,85,85.37999855,87.47999842,89.8441,91.61,0.544199273,0.514489023,0.519928907,0.485787414,..,2.41E+12,2.59E+12,2.61E+12,2.68E+12,2.94E+12,1.911377665,1.645120728,0.659035023,1.664698826,2.553033181,1.115628912,0.853681185,-0.038435573,1.020077996,1.911429471,38362.21712,40974.70814,41050.77194,41776.75948,45603.29237,46.00399903,45.97044681,45.95053916,45.9131558,..,31977257,32196994,32533294,32761244,..,6.800000191,7.099999905,7.400000095,7,..,7.900000095,7.800000191,8,7.5,..,0.783888647,0.781677289,0.695315843,0.636084282,0.627596412,62766365,63258918,63700300,64106779,64510376,50.86875288,50.83544356,50.8022932,50.76979433,50.73875026,11736055,11658619,11571796,11480242,11389307
,,NLD,30.31722502,29.83392645,29.98220641,30.84051084,..,41540,41500,41500,41500,41500,492.5998814,495.0496441,496.8849941,499.0921295,500.5697357,90.72,91.41999576,92.85999236,93.9564,93.17,0.487978571,0.48698173,0.481214572,0.481200668,..,8.36E+11,8.94E+11,8.23E+11,8.54E+11,8.70E+11,1.070503848,1.663619434,-1.585708514,-0.725512456,0.873913345,0.553417148,1.19053521,-1.949222538,-1.017763268,0.576148804,50341.25192,53537.27515,49128.08727,50792.51426,51590.04892,45.80124088,45.99225283,46.074406,46.10349148,..,8869037,8891504,8998065,8998325,..,4.599999905,4.300000191,5.199999809,6.199999809,..,4.5,4.400000095,5.300000191,6.699999809,..,0.512923101,0.466428782,0.370055035,0.294820793,0.295621411,16615394,16693074,16754962,16804432,16854183,50.48365545,50.46453647,50.44109259,50.41516954,50.38931066,2149866,2030379,1914254,1802948,1700587
,,MOZ,7.184821588,7.184821588,7.184821588,7.184821588,..,799380,799380,799380,799380,799380,30.92837687,31.81276355,32.72327374,33.65698517,34.60957298,4.17,4.3,4.8491,5.4,5.94,0.10047121,0.097876397,0.095143647,0.092522138,..,10119169260,13197133578,14934374229,15457196860,16385584919,6.767812039,7.419097731,7.074000609,7.312036355,7.372599667,3.810617393,4.432874311,4.094715315,4.3349879,4.417295094,416.0593364,527.5282909,580.3604716,584.0137431,602.0509536,53.6465936,53.56671203,53.3594967,53.27605607,..,11147472,11443004,11771674,12105211,..,9.300000191,9.300000191,9.300000191,9.300000191,..,8.300000191,8.300000191,8.300000191,8.300000191,..,2.808824318,2.819347107,2.821898103,2.813405792,2.790970183,24321457,25016921,25732928,26467180,27216276,51.3957737,51.34677845,51.29844144,51.25036744,51.20212993,16792750,17216895,17648414,18085289,18525030
